[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_067_C_32294_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:29:14

[MS Spectrum]
# of Peaks	321
Raw Spectrum	[1.000->3.000],(scan:[121->361])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 401,708)
m/z	Absolute Intensity	Relative Intensity
43.2982	11403	0.7784
43.3982	11088	0.7569
43.4982	10689	0.7297
43.5982	10374	0.7082
43.6982	10248	0.6996
43.7982	10248	0.6996
43.8982	10374	0.7082
43.9982	10647	0.7268
44.0982	11067	0.7555
44.1982	11508	0.7856
44.2982	11802	0.8057
44.3982	11844	0.8086
44.4982	11613	0.7928
44.5982	11193	0.7641
44.6982	10752	0.7340
44.7982	10458	0.7139
44.8982	10374	0.7082
44.9982	10416	0.7111
45.0982	10500	0.7168
45.1982	10563	0.7211
45.2982	10584	0.7225
45.3982	10542	0.7197
45.4982	10500	0.7168
45.5982	10458	0.7139
45.6982	10437	0.7125
45.7982	10416	0.7111
45.8982	10437	0.7125
45.9982	10479	0.7154
46.0982	10542	0.7197
46.1982	10563	0.7211
46.2982	10584	0.7225
46.3982	10584	0.7225
46.4982	10563	0.7211
46.5982	10521	0.7182
46.6982	10458	0.7139
46.7982	10416	0.7111
46.8982	10416	0.7111
46.9982	10458	0.7139
47.0982	10521	0.7182
47.1982	10668	0.7283
47.2982	10878	0.7426
47.3982	11130	0.7598
47.4982	11298	0.7713
47.5982	11319	0.7727
47.6982	11172	0.7627
47.7982	10941	0.7469
47.8982	10731	0.7326
47.9982	10605	0.7240
48.0982	10605	0.7240
48.1982	10668	0.7283
48.2982	10668	0.7283
48.3982	10605	0.7240
48.4982	10458	0.7139
48.5982	10332	0.7053
48.6982	10290	0.7025
48.7982	10311	0.7039
48.8982	10332	0.7053
48.9982	10353	0.7068
49.0982	10332	0.7053
49.1982	10290	0.7025
49.2982	10248	0.6996
49.3982	10206	0.6967
49.4982	10185	0.6953
49.5982	10227	0.6982
49.6982	10416	0.7111
49.7982	10689	0.7297
49.8982	10962	0.7483
49.9982	11151	0.7612
50.0982	11214	0.7655
50.1982	11172	0.7627
50.2982	11025	0.7526
50.3982	10836	0.7397
50.4982	10689	0.7297
50.5982	10584	0.7225
50.6982	10479	0.7154
50.7982	10353	0.7068
50.8982	10269	0.7010
50.9982	10206	0.6967
51.0982	10185	0.6953
51.1982	10227	0.6982
51.2982	10332	0.7053
51.3982	10563	0.7211
51.4982	10794	0.7369
51.5982	10983	0.7498
51.6982	11067	0.7555
51.7982	11046	0.7541
51.8982	10899	0.7440
51.9982	10710	0.7311
52.0982	10563	0.7211
52.1982	10458	0.7139
52.2982	10395	0.7096
52.3982	10332	0.7053
52.4982	10290	0.7025
52.5982	10311	0.7039
52.6982	10416	0.7111
52.7982	10521	0.7182
52.8982	10626	0.7254
52.9982	10689	0.7297
53.0982	10647	0.7268
53.1982	10542	0.7197
53.2982	10437	0.7125
53.3982	10437	0.7125
53.4982	10563	0.7211
53.5982	10752	0.7340
53.6982	10857	0.7412
53.7982	10878	0.7426
53.8982	10773	0.7354
53.9982	10584	0.7225
54.0982	10374	0.7082
54.1982	10269	0.7010
54.2982	10227	0.6982
54.3982	10248	0.6996
54.4982	10290	0.7025
54.5982	10353	0.7068
54.6982	10437	0.7125
54.7982	10500	0.7168
54.8982	10563	0.7211
54.9982	10584	0.7225
55.0982	10584	0.7225
55.1982	10542	0.7197
55.2982	10521	0.7182
55.3982	10521	0.7182
55.4982	10563	0.7211
55.5982	10605	0.7240
55.6982	10626	0.7254
55.7982	10647	0.7268
55.8982	10647	0.7268
55.9982	10605	0.7240
56.0982	10542	0.7197
56.1982	10437	0.7125
56.2982	10269	0.7010
56.3982	10101	0.6896
56.4982	10269	0.7010
56.5982	11424	0.7799
56.6982	14322	0.9777
56.7982	19635	1.3404
56.8982	27384	1.8694
56.9982	36393	2.4844
57.0982	44163	3.0149
57.1982	47901	3.2701
57.2982	46116	3.1482
57.3982	39438	2.6923
57.4982	30051	2.0515
57.5982	20790	1.4193
57.6982	14007	0.9562
57.7982	10626	0.7254
57.8982	9912	0.6767
57.9982	10416	0.7111
58.0982	11025	0.7526
58.1982	11319	0.7727
58.2982	11340	0.7741
58.3982	11151	0.7612
58.4982	11004	0.7512
58.5982	11256	0.7684
58.6982	12264	0.8372
58.7982	14259	0.9734
58.8982	17241	1.1770
58.9982	20706	1.4135
59.0982	23688	1.6171
59.1982	25200	1.7203
59.2982	24612	1.6802
59.3982	22155	1.5125
59.4982	18648	1.2730
59.5982	15204	1.0379
59.6982	12705	0.8673
59.7982	11571	0.7899
59.8982	11613	0.7928
59.9982	12285	0.8387
60.0982	13062	0.8917
60.1982	13566	0.9261
60.2982	13713	0.9361
60.3982	13461	0.9189
60.4982	12873	0.8788
60.5982	12117	0.8272
60.6982	11424	0.7799
60.7982	10983	0.7498
60.8982	10857	0.7412
60.9982	10941	0.7469
61.0982	11088	0.7569
61.1982	11235	0.7670
61.2982	11256	0.7684
61.3982	11151	0.7612
61.4982	10941	0.7469
61.5982	10794	0.7369
61.6982	10878	0.7426
61.7982	11277	0.7698
61.8982	12033	0.8215
61.9982	13062	0.8917
62.0982	14154	0.9663
62.1982	14973	1.0222
62.2982	15183	1.0365
62.3982	14721	1.0050
62.4982	13734	0.9376
62.5982	12516	0.8544
62.6982	11403	0.7784
62.7982	10647	0.7268
62.8982	10332	0.7053
62.9982	10311	0.7039
63.0982	10395	0.7096
63.1982	10479	0.7154
63.2982	10479	0.7154
63.3982	10416	0.7111
63.4982	10374	0.7082
63.5982	10416	0.7111
63.6982	10752	0.7340
63.7982	11487	0.7842
63.8982	12537	0.8559
63.9982	13734	0.9376
64.0982	14721	1.0050
64.1982	15267	1.0422
64.2982	15162	1.0351
64.3982	14427	0.9849
64.4982	13335	0.9103
64.5982	12243	0.8358
64.6982	11487	0.7842
64.7982	11172	0.7627
64.8982	11277	0.7698
64.9982	11613	0.7928
65.0982	11991	0.8186
65.1982	12201	0.8329
65.2983	12159	0.8301
65.3983	11886	0.8114
65.4983	11550	0.7885
65.5983	11256	0.7684
65.6983	11109	0.7584
65.7983	11088	0.7569
65.8983	11130	0.7598
65.9983	11151	0.7612
66.0983	11109	0.7584
66.1983	10941	0.7469
66.2983	10731	0.7326
66.3983	10500	0.7168
66.4983	10353	0.7068
66.5983	10269	0.7010
66.6983	10227	0.6982
66.7983	10227	0.6982
66.8983	10248	0.6996
66.9983	10290	0.7025
67.0983	10353	0.7068
67.1983	10395	0.7096
67.2983	10416	0.7111
67.3983	10395	0.7096
67.4983	10353	0.7068
67.5983	10311	0.7039
67.6983	10290	0.7025
67.7983	10290	0.7025
67.8983	10332	0.7053
67.9983	10395	0.7096
68.0983	10416	0.7111
68.1983	10395	0.7096
68.2983	10248	0.6996
68.3983	10101	0.6896
68.4983	10290	0.7025
68.5983	11466	0.7828
68.6983	14532	0.9921
68.7983	20223	1.3806
68.8983	28476	1.9440
68.9983	38010	2.5948
69.0983	46263	3.1582
69.1983	50463	3.4450
69.2983	48930	3.3403
69.3983	42168	2.8787
69.4983	32424	2.2135
69.5983	22680	1.5483
69.6983	15330	1.0465
69.7983	11445	0.7813
69.8983	10458	0.7139
69.9983	11004	0.7512
70.0983	11781	0.8043
70.1983	12243	0.8358
70.2983	12306	0.8401
70.3983	12033	0.8215
70.4983	11571	0.7899
70.5983	11088	0.7569
70.6983	10689	0.7297
70.7983	10458	0.7139
70.8983	10416	0.7111
70.9983	10458	0.7139
71.0983	10521	0.7182
71.1983	10542	0.7197
71.2983	10500	0.7168
71.3983	10416	0.7111
71.4983	10416	0.7111
71.5983	10752	0.7340
71.6983	11760	0.8028
71.7983	13692	0.9347
71.8983	16632	1.1354
71.9983	20244	1.3820
72.0983	23751	1.6214
72.1983	25998	1.7748
72.2983	26208	1.7891
72.3983	24234	1.6544
72.4983	20727	1.4150
72.5983	16779	1.1455
72.6983	13440	0.9175
72.7983	11382	0.7770
72.8983	10626	0.7254
72.9983	10668	0.7283
73.0983	10920	0.7455
73.1983	11067	0.7555
73.2983	11046	0.7541
73.3983	10920	0.7455
73.4983	10815	0.7383
73.5983	10899	0.7440
73.6983	11256	0.7684
73.7983	11907	0.8129
73.8983	12810	0.8745
73.9983	13776	0.9404
74.0983	14574	0.9949
74.1983	14952	1.0207
74.2983	14742	1.0064
74.3983	14070	0.9605
74.4983	13188	0.9003
74.5983	12411	0.8473
74.6983	12012	0.8200
74.7983	12117	0.8272
74.8983	12705	0.8673
74.9983	13482	0.9204
75.0983	14091	0.9620
75.1983	14259	0.9734
75.2983	13902	0.9490
75.3983	13125	0.8960
75.4983	12180	0.8315
75.5983	11319	0.7727
75.6983	10836	0.7397
75.7983	10815	0.7383
75.8983	11193	0.7641
75.9983	11718	0.8000
76.0983	12243	0.8358
76.1983	12516	0.8544
76.2983	12495	0.8530
76.3983	12159	0.8301
76.4983	11676	0.7971
76.5983	11235	0.7670
76.6983	11046	0.7541
76.7983	11298	0.7713
76.8983	11907	0.8129
76.9983	12663	0.8645
77.0983	13251	0.9046
77.1983	13482	0.9204
77.2983	13209	0.9017
77.3983	12579	0.8587
77.4983	11760	0.8028
77.5983	11046	0.7541
77.6983	10584	0.7225
77.7983	10374	0.7082
77.8983	10353	0.7068
77.9983	10416	0.7111
78.0983	10500	0.7168
78.1983	10542	0.7197
78.2983	10584	0.7225
78.3983	10584	0.7225
78.4983	10542	0.7197
78.5983	10521	0.7182
78.6983	10479	0.7154
78.7983	10458	0.7139
78.8983	10458	0.7139
78.9983	10500	0.7168
79.0983	10542	0.7197
79.1983	10563	0.7211
79.2983	10542	0.7197
79.3983	10500	0.7168
79.4983	10437	0.7125
79.5983	10395	0.7096
79.6983	10458	0.7139
79.7983	10626	0.7254
79.8983	10899	0.7440
79.9983	11256	0.7684
80.0983	11613	0.7928
80.1983	11928	0.8143
80.2983	12075	0.8243
80.3983	12012	0.8200
80.4983	11760	0.8028
80.5983	11445	0.7813
80.6983	11172	0.7627
80.7983	11046	0.7541
80.8983	11109	0.7584
80.9983	11298	0.7713
81.0983	11487	0.7842
81.1983	11508	0.7856
81.2983	11361	0.7756
81.3983	11109	0.7584
81.4983	10836	0.7397
81.5983	10626	0.7254
81.6983	10542	0.7197
81.7983	10584	0.7225
81.8983	10689	0.7297
81.9983	10857	0.7412
