[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_F_061_C_32286_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:25:10

[MS Spectrum]
# of Peaks	390
Raw Spectrum	[1.908->3.483],(scan:[230->419])
Background	No Background Spectrum
Base Peak	m/z 798.55 (Inten : 389,051)
m/z	Absolute Intensity	Relative Intensity
1501.6254	64589	16.60
1506.0873	28049	7.21
1515.1937	42103	10.82
1523.6591	65265	16.78
1530.5378	25450	6.54
1543.5759	23111	5.94
1545.6052	43707	11.23
1555.8689	27609	7.10
1559.5035	23742	6.10
1567.6058	37744	9.70
1573.4691	20064	5.16
1589.3701	32001	8.23
1612.0787	32832	8.44
1633.6963	34112	8.77
1655.6445	19869	5.11
1721.9128	21436	5.51
1743.7247	23173	5.96

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	15496	1.0592
10.3982	16406	1.1214
10.4982	17394	1.1890
10.5982	18252	1.2476
10.6982	19058	1.3027
10.7982	19864	1.3578
10.8982	20618	1.4093
10.9982	21060	1.4395
11.0982	21060	1.4395
11.1982	20852	1.4253
11.2982	20956	1.4324
11.3982	21684	1.4822
11.4982	22802	1.5586
11.5982	23946	1.6368
11.6982	24596	1.6812
11.7982	24440	1.6706
11.8982	23582	1.6119
11.9982	22334	1.5266
12.0982	21060	1.4395
12.1982	20020	1.3685
12.2982	19162	1.3098
12.3982	18512	1.2654
12.4982	18122	1.2387
12.5982	18252	1.2476
12.6982	19084	1.3045
12.7982	20410	1.3951
12.8982	21528	1.4715
12.9982	21996	1.5035
13.0982	21866	1.4946
13.1982	21450	1.4662
13.2982	20982	1.4342
13.3982	20748	1.4182
13.4982	21320	1.4573
13.5982	23036	1.5746
13.6982	25402	1.7363
13.7982	27430	1.8750
13.8982	28288	1.9336
13.9982	27586	1.8856
14.0982	25454	1.7399
14.1982	22568	1.5426
14.2982	20124	1.3756
14.3982	19136	1.3080
14.4982	19786	1.3525
14.5982	21346	1.4591
14.6982	23088	1.5782
14.7982	24622	1.6830
14.8982	26000	1.7772
14.9982	26988	1.8447
15.0982	27352	1.8696
15.1982	27066	1.8501
15.2982	26390	1.8039
15.3982	25194	1.7221
15.4982	23452	1.6030
15.5982	21372	1.4609
15.6982	19448	1.3294
15.7982	18018	1.2316
15.8982	17290	1.1818
15.9982	17368	1.1872
16.0982	18122	1.2387
16.1982	19110	1.3062
16.2982	19760	1.3507
16.3982	19838	1.3560
16.4982	19708	1.3471
16.5982	19864	1.3578
16.6982	20488	1.4004
16.7982	21320	1.4573
16.8982	21918	1.4982
16.9982	22048	1.5071
17.0982	21762	1.4875
17.1982	21320	1.4573
17.2982	20826	1.4235
17.3982	20306	1.3880
17.4982	19708	1.3471
17.5982	19344	1.3222
17.6982	19318	1.3205
17.7982	19396	1.3258
17.8982	19474	1.3311
17.9982	19734	1.3489
18.0982	20202	1.3809
18.1982	20722	1.4164
18.2982	21008	1.4360
18.3982	21112	1.4431
18.4982	20956	1.4324
18.5982	20098	1.3738
18.6982	18538	1.2672
18.7982	16848	1.1516
18.8982	15782	1.0788
18.9982	15678	1.0717
19.0982	16198	1.1072
19.1982	16874	1.1534
19.2982	17394	1.1890
19.3982	17602	1.2032
19.4982	17550	1.1996
19.5982	17524	1.1978
19.6982	18018	1.2316
19.7982	19162	1.3098
19.8982	20410	1.3951
19.9982	20904	1.4289
20.0982	20384	1.3933
20.1982	19188	1.3116
20.2982	17784	1.2156
20.3982	16614	1.1356
20.4982	16042	1.0965
20.5982	16250	1.1108
20.6982	16952	1.1587
20.7982	17628	1.2049
20.8982	17966	1.2281
20.9982	17862	1.2209
21.0982	17264	1.1801
21.1982	16302	1.1143
21.2982	15106	1.0326
21.3982	13936	0.9526
21.4982	13208	0.9028
21.5982	13416	0.9170
21.6982	14456	0.9881
21.7982	15704	1.0734
21.8982	16536	1.1303
21.9982	16848	1.1516
22.0982	16692	1.1410
22.1982	16172	1.1054
22.2982	15470	1.0574
22.3982	14924	1.0201
22.4982	14898	1.0183
22.5982	15262	1.0432
22.6982	15782	1.0788
22.7982	16302	1.1143
22.8982	16770	1.1463
22.9982	17004	1.1623
23.0982	16770	1.1463
23.1982	16068	1.0983
23.2982	15262	1.0432
23.3982	14716	1.0059
23.4982	14508	0.9917
23.5982	14560	0.9952
23.6982	14846	1.0148
23.7982	15366	1.0503
23.8982	16068	1.0983
23.9982	16744	1.1445
24.0982	17186	1.1747
24.1982	17342	1.1854
24.2982	17238	1.1783
24.3982	16874	1.1534
24.4982	16276	1.1125
24.5982	15600	1.0663
24.6982	15132	1.0343
24.7982	15106	1.0326
24.8982	15600	1.0663
24.9982	16432	1.1232
25.0982	17134	1.1712
25.1982	17238	1.1783
