[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/30625_MEC_M_062_N_32209_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	9:56:11

[MS Spectrum]
# of Peaks	809
Raw Spectrum	[1.883->2.808],(scan:[227->338])
Background	No Background Spectrum
Base Peak	m/z 227.21 (Inten : 159,043)
m/z	Absolute Intensity	Relative Intensity
1192.0156	8069	5.07
1194.0228	9487	5.97
1195.4281	9441	5.94
1196.9894	8574	5.39
1199.1327	19570	12.30
1201.1647	9138	5.75
1203.5679	13038	8.20
1205.2589	8094	5.09
1208.2079	9248	5.81
1211.9313	12588	7.91
1214.7130	10201	6.41
1216.4872	11606	7.30
1218.4919	10889	6.85
1220.3969	10532	6.62
1224.1587	10031	6.31
1229.2291	8744	5.50
1231.0417	10191	6.41
1233.9319	10412	6.55
1236.0428	8311	5.23
1237.5887	8050	5.06
1240.4363	8776	5.52
1242.6642	13108	8.24
1245.4233	9990	6.28
1252.3861	11694	7.35
1258.8643	8272	5.20
1263.3666	9475	5.96
1273.5402	12889	8.10
1278.0952	13417	8.44
1282.4995	10503	6.60
1284.7367	11323	7.12
1287.4569	10170	6.39
1289.3667	10701	6.73
1292.4502	12690	7.98
1294.5386	12133	7.63
1303.2915	12681	7.97
1305.2834	11552	7.26
1308.2262	14595	9.18
1312.2754	11909	7.49
1317.4344	14193	8.92
1319.7915	17097	10.75
1321.7090	8374	5.27
1322.8646	7992	5.03
1325.2842	13567	8.53
1329.4177	9953	6.26
1331.5094	19605	12.33
1335.2438	12301	7.73
1338.8958	25830	16.24
1341.8018	9705	6.10
1344.6272	10126	6.37
1347.1056	21670	13.63
1350.6196	13346	8.39
1353.3357	15930	10.02
1355.1331	11459	7.20
1356.9220	8925	5.61
1361.1582	18843	11.85
1363.4373	16771	10.54
1365.7972	9485	5.96
1367.2606	12199	7.67
1369.9441	22609	14.22
1373.1492	12620	7.93
1375.1235	16104	10.13
1377.9011	8208	5.16
1379.0873	10638	6.69
1380.3834	9130	5.74
1381.7579	11412	7.18
1383.2947	14743	9.27
1385.8234	9317	5.86
1387.4313	11276	7.09
1391.7067	15269	9.60
1394.4052	13876	8.72
1397.5713	14987	9.42
1400.7322	7984	5.02
1405.6665	26547	16.69
1410.9047	8733	5.49
1412.9924	14844	9.33
1414.2974	8409	5.29
1419.6486	30152	18.96
1422.0800	12827	8.07
1423.5435	8283	5.21
1425.1929	11354	7.14
1427.3827	21889	13.76
1429.5286	9196	5.78
1432.5289	11978	7.53
1435.1211	24038	15.11
1437.3928	14317	9.00
1439.3281	9926	6.24
1441.4087	18456	11.60
1445.2662	10871	6.84
1449.7896	18953	11.92
1457.6411	16911	10.63
1460.9056	10087	6.34
1463.0942	15761	9.91
1464.6494	10107	6.35
1469.1270	11166	7.02
1471.0222	11244	7.07
1472.6693	9496	5.97
1476.7635	11188	7.03
1479.1605	13037	8.20
1480.9359	8255	5.19
1482.4583	8162	5.13
1485.3358	13798	8.68
1486.9104	8123	5.11
1501.6080	12312	7.74
1507.4562	18310	11.51
1515.7939	12277	7.72
1517.7048	10159	6.39
1529.9526	10071	6.33
1537.5999	10601	6.67
1542.1896	15562	9.78
1545.7047	14316	9.00
1551.7155	21451	13.49
1554.0400	8143	5.12
1556.5525	10555	6.64
1559.5907	11003	6.92
1568.2944	8642	5.43
1573.6150	9142	5.75
1587.5615	8792	5.53
1592.0378	10373	6.52

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	12029	2.0045
10.3982	12006	2.0007
10.4982	11960	1.9930
10.5982	11960	1.9930
10.6982	11960	1.9930
10.7982	11960	1.9930
10.8982	11960	1.9930
10.9982	11914	1.9854
11.0982	11868	1.9777
11.1982	11822	1.9700
11.2982	11799	1.9662
11.3982	11776	1.9624
11.4982	11822	1.9700
11.5982	11845	1.9739
11.6982	11891	1.9815
11.7982	11891	1.9815
11.8982	11868	1.9777
11.9982	11822	1.9700
12.0982	11776	1.9624
12.1982	11753	1.9585
12.2982	11753	1.9585
12.3982	11753	1.9585
12.4982	11799	1.9662
12.5982	11799	1.9662
12.6982	11822	1.9700
12.7982	11799	1.9662
12.8982	11799	1.9662
12.9982	11776	1.9624
13.0982	11776	1.9624
13.1982	11776	1.9624
13.2982	11776	1.9624
13.3982	11776	1.9624
13.4982	11799	1.9662
13.5982	11799	1.9662
13.6982	11799	1.9662
13.7982	11799	1.9662
13.8982	11776	1.9624
13.9982	11776	1.9624
14.0982	11776	1.9624
14.1982	11776	1.9624
14.2982	11776	1.9624
14.3982	11776	1.9624
14.4982	11799	1.9662
14.5982	11822	1.9700
14.6982	11845	1.9739
14.7982	11845	1.9739
14.8982	11845	1.9739
14.9982	11845	1.9739
15.0982	11845	1.9739
15.1982	11845	1.9739
15.2982	11868	1.9777
15.3982	11891	1.9815
15.4982	11891	1.9815
15.5982	11914	1.9854
15.6982	11914	1.9854
15.7982	11914	1.9854
15.8982	11914	1.9854
15.9982	11937	1.9892
16.0982	11937	1.9892
16.1982	11937	1.9892
16.2982	11937	1.9892
16.3982	11937	1.9892
16.4982	11960	1.9930
16.5982	11960	1.9930
16.6982	11937	1.9892
16.7982	11914	1.9854
16.8982	11914	1.9854
16.9982	11914	1.9854
17.0982	11914	1.9854
17.1982	11937	1.9892
17.2982	11960	1.9930
17.3982	11983	1.9969
17.4982	11983	1.9969
17.5982	11983	1.9969
17.6982	12006	2.0007
17.7982	12006	2.0007
17.8982	12006	2.0007
17.9982	12006	2.0007
18.0982	12006	2.0007
18.1982	11983	1.9969
18.2982	11960	1.9930
18.3982	11960	1.9930
18.4982	11960	1.9930
18.5982	11960	1.9930
18.6982	11960	1.9930
18.7982	11937	1.9892
18.8982	11914	1.9854
18.9982	11868	1.9777
19.0982	11868	1.9777
19.1982	11891	1.9815
19.2982	11914	1.9854
19.3982	11937	1.9892
19.4982	11937	1.9892
19.5982	11914	1.9854
19.6982	11891	1.9815
19.7982	11868	1.9777
19.8982	11845	1.9739
19.9982	11845	1.9739
20.0982	11868	1.9777
20.1982	11868	1.9777
20.2982	11914	1.9854
20.3982	11937	1.9892
20.4982	11937	1.9892
20.5982	11960	1.9930
20.6982	11960	1.9930
20.7982	11983	1.9969
20.8982	11983	1.9969
20.9982	11983	1.9969
21.0982	11983	1.9969
21.1982	11960	1.9930
21.2982	11937	1.9892
21.3982	11914	1.9854
21.4982	11891	1.9815
21.5982	11868	1.9777
21.6982	11868	1.9777
21.7982	11868	1.9777
21.8982	11891	1.9815
21.9982	11914	1.9854
22.0982	11937	1.9892
22.1982	11914	1.9854
22.2982	11891	1.9815
22.3982	11868	1.9777
22.4982	11845	1.9739
22.5982	11868	1.9777
22.6982	11868	1.9777
22.7982	11891	1.9815
22.8982	11914	1.9854
22.9982	11937	1.9892
23.0982	11937	1.9892
23.1982	11914	1.9854
23.2982	11914	1.9854
23.3982	11891	1.9815
23.4982	11891	1.9815
23.5982	11891	1.9815
23.6982	11914	1.9854
23.7982	11937	1.9892
23.8982	11960	1.9930
23.9982	11983	1.9969
24.0982	11983	1.9969
24.1982	11960	1.9930
24.2982	11937	1.9892
24.3982	11914	1.9854
24.4982	11868	1.9777
24.5982	11845	1.9739
24.6982	11822	1.9700
24.7982	11822	1.9700
24.8982	11845	1.9739
24.9982	11868	1.9777
25.0982	11891	1.9815
25.1982	11937	1.9892
25.2982	11960	1.9930
25.3982	11960	1.9930
25.4982	11937	1.9892
25.5982	11914	1.9854
25.6982	11891	1.9815
25.7982	11891	1.9815
25.8982	11868	1.9777
25.9982	11868	1.9777
26.0982	11868	1.9777
26.1982	11868	1.9777
26.2982	11868	1.9777
26.3982	11868	1.9777
26.4982	11868	1.9777
26.5982	11845	1.9739
26.6982	11845	1.9739
26.7982	11845	1.9739
26.8982	11891	1.9815
26.9982	11937	1.9892
27.0982	11983	1.9969
27.1982	11983	1.9969
27.2982	11983	1.9969
27.3982	11960	1.9930
27.4982	11914	1.9854
27.5982	11891	1.9815
27.6982	11891	1.9815
27.7982	11914	1.9854
27.8982	11937	1.9892
27.9982	11937	1.9892
28.0982	11937	1.9892
28.1982	11937	1.9892
28.2982	11937	1.9892
28.3982	11937	1.9892
28.4982	11960	1.9930
28.5982	11960	1.9930
28.6982	11983	1.9969
28.7982	12006	2.0007
28.8982	12006	2.0007
28.9982	12006	2.0007
29.0982	11960	1.9930
29.1982	11937	1.9892
29.2982	11891	1.9815
29.3982	11868	1.9777
29.4982	11868	1.9777
29.5982	11868	1.9777
29.6982	11891	1.9815
29.7982	11914	1.9854
29.8982	11937	1.9892
29.9982	11960	1.9930
30.0982	11960	1.9930
30.1982	11960	1.9930
30.2982	11937	1.9892
30.3982	11937	1.9892
30.4982	11914	1.9854
30.5982	11914	1.9854
30.6982	11891	1.9815
30.7982	11891	1.9815
30.8982	11891	1.9815
30.9982	11891	1.9815
31.0982	11891	1.9815
31.1982	11891	1.9815
31.2982	11891	1.9815
31.3982	11868	1.9777
31.4982	11845	1.9739
31.5982	11822	1.9700
31.6982	11822	1.9700
31.7982	11822	1.9700
31.8982	11845	1.9739
31.9982	11891	1.9815
32.0982	11914	1.9854
32.1982	11937	1.9892
32.2982	11914	1.9854
32.3982	11891	1.9815
32.4982	11891	1.9815
